Tech;Duplex;BW;N_ant;Band;Chamber;Polarization;Transf;Throughput;PcktRetr;Ptx;Prx;Pl;Time;RTTmin;RTTavg;RTTmax;RTTmdev
4G;FDD;10;MIMO;1;anecoica;1;68.1;57.1;833;15;15;0;14015;18.930;27.266;37.218;
4G;FDD;10;MIMO;1;anecoica;1;69.4;58.2;830;15;15;0;14014;18.965;27.848;38.031;
4G;FDD;10;MIMO;1;anecoica;1;70.8;59.4;811;15;15;0;14014;19.010;27.788;37.996;
4G;FDD;10;MIMO;1;anecoica;1;70.0;58.7;881;15;15;0;14016;18.957;27.857;37.005;
4G;FDD;10;MIMO;1;anecoica;1;70.8;59.4;1196;15;15;0;14013;18.985;27.622;38.018;
4G;FDD;10;MIMO;1;anecoica;1;69.5;58.3;774;15;15;0;14017;18.917;28.288;37.964;
4G;FDD;10;MIMO;1;anecoica;1;71.3;59.8;820;15;15;0;14015;19.284;28.787;38.004;
4G;FDD;10;MIMO;1;anecoica;1;69.8;58.6;1063;15;15;0;14037;22.984;98.607;1.062.033;
4G;FDD;10;MIMO;1;anecoica;1;71.0;59.6;611;15;15;0;14015;18.316;27.643;37.038;
4G;FDD;10;MIMO;1;anecoica;1;69.0;57.9;805;15;15;0;14014;19.048;28.660;37.965;
4G;FDD;10;MIMO;1;anecoica;1;69.8;58.5;664;15;15;0;14014;18.978;27.814;37.984;
4G;FDD;10;MIMO;1;anecoica;1;69.6;58.4;469;15;15;0;14015;18.995;27.137;37.901;
4G;FDD;10;MIMO;1;anecoica;1;69.0;57.9;731;15;15;0;14016;18.841;27.524;37.052;
4G;FDD;10;MIMO;1;anecoica;1;71.4;59.9;883;15;15;0;14014;18.991;27.633;37.947;
4G;FDD;10;MIMO;1;anecoica;1;70.0;58.7;779;15;15;0;14015;18.680;27.023;37.064;
4G;FDD;10;MIMO;1;anecoica;1;69.9;58.7;789;15;15;0;14002;25.977;26.922;28.305;
4G;FDD;10;MIMO;1;anecoica;1;69.5;58.3;593;15;15;0;14016;18.746;27.724;37.056;
4G;FDD;10;MIMO;1;anecoica;1;70.8;59.4;559;15;15;0;14013;18.398;25.905;36.967;
4G;FDD;10;MIMO;1;anecoica;1;69.3;58.1;661;15;15;0;14016;19.037;28.257;38.084;
4G;FDD;10;MIMO;1;anecoica;1;70.9;59.5;641;15;15;0;14017;18.962;27.978;37.871;
4G;FDD;10;MIMO;1;anecoica;2;112;94.0;907;15;15;0;14016;18.942;28.321;37.920;
4G;FDD;10;MIMO;1;anecoica;2;110;92.6;752;15;15;0;14001;26.942;27.315;28.200;
4G;FDD;10;MIMO;1;anecoica;2;111;93.2;693;15;15;0;14017;18.981;28.103;37.890;
4G;FDD;10;MIMO;1;anecoica;2;110;92.2;856;15;15;0;14010;19.919;30.901;37.964;
4G;FDD;10;MIMO;1;anecoica;2;110;92.4;516;15;15;0;14017;19.870;28.342;37.962;
4G;FDD;10;MIMO;1;anecoica;2;110;92.4;622;15;15;0;14042;24.998;100.109;1.063.945;
4G;FDD;10;MIMO;1;anecoica;2;111;92.8;771;15;15;0;14016;19.024;27.997;37.959;
4G;FDD;10;MIMO;1;anecoica;2;111;93.0;961;15;15;0;14016;18.963;28.551;37.922;
4G;FDD;10;MIMO;1;anecoica;2;110;92.1;647;15;15;0;14016;19.961;29.350;38.149;
4G;FDD;10;MIMO;1;anecoica;2;111;93.4;732;15;15;0;14015;18.928;28.123;37.929;
4G;FDD;10;MIMO;1;anecoica;2;111;93.0;629;15;15;0;14002;25.971;72.216;708.343;
4G;FDD;10;MIMO;1;anecoica;2;110;92.4;635;15;15;0;14020;18.879;27.627;36.958;
4G;FDD;10;MIMO;1;anecoica;2;112;93.6;765;15;15;0;14017;19.946;29.546;37.862;
4G;FDD;10;MIMO;1;anecoica;2;111;92.7;755;15;15;0;14016;18.961;27.997;36.973;
4G;FDD;10;MIMO;1;anecoica;2;110;92.4;766;15;15;0;14016;18.945;28.422;37.191;
4G;FDD;10;MIMO;1;anecoica;2;111;92.8;803;15;15;0;14016;19.959;29.218;38.056;
4G;FDD;10;MIMO;1;anecoica;2;111;92.9;440;15;15;0;14016;18.899;28.272;37.842;
4G;FDD;10;MIMO;1;anecoica;2;110;92.6;541;15;15;0;14030;18.953;92.833;1.042.842;
4G;FDD;10;MIMO;1;anecoica;2;109;91.2;1114;15;15;0;14018;18.965;27.743;37.014;
4G;FDD;10;MIMO;1;anecoica;2;107;89.9;442;15;15;0;14017;19.937;28.888;37.984;
4G;FDD;10;MIMO;1;anecoica;3;111;93.5;837;15;15;0;14017;18.905;28.922;37.789;
4G;FDD;10;MIMO;1;anecoica;3;111;93.4;1046;15;15;0;14015;18.989;28.029;37.981;
4G;FDD;10;MIMO;1;anecoica;3;109;91.6;411;15;15;0;14017;18.974;28.894;37.935;
4G;FDD;10;MIMO;1;anecoica;3;110;92.3;547;15;15;0;14015;18.980;28.788;37.970;
4G;FDD;10;MIMO;1;anecoica;3;111;93.0;385;15;15;0;14016;18.930;27.738;37.023;
4G;FDD;10;MIMO;1;anecoica;3;111;92.9;1179;15;15;0;14016;19.826;28.348;37.948;
4G;FDD;10;MIMO;1;anecoica;3;112;93.8;675;15;15;0;14017;18.964;29.043;37.964;
4G;FDD;10;MIMO;1;anecoica;3;111;93.0;618;15;15;0;14017;18.830;27.747;36.963;
4G;FDD;10;MIMO;1;anecoica;3;110;92.5;701;15;15;0;14020;18.962;28.706;37.055;
4G;FDD;10;MIMO;1;anecoica;3;111;93.5;594;15;15;0;14019;18.957;28.229;37.016;
4G;FDD;10;MIMO;1;anecoica;3;111;92.9;531;15;15;0;14016;18.902;27.789;37.001;
4G;FDD;10;MIMO;1;anecoica;3;111;93.5;987;15;15;0;14017;18.942;28.420;37.732;
4G;FDD;10;MIMO;1;anecoica;3;111;93.3;612;15;15;0;14017;18.969;27.780;37.939;
4G;FDD;10;MIMO;1;anecoica;3;110;92.6;754;15;15;0;14040;18.845;93.660;1.057.000;
4G;FDD;10;MIMO;1;anecoica;3;110;92.5;1034;15;15;0;14015;19.565;28.718;37.985;
4G;FDD;10;MIMO;1;anecoica;3;110;92.4;673;15;15;0;14016;19.920;28.263;37.964;
4G;FDD;10;MIMO;1;anecoica;3;111;93.1;499;15;15;0;14018;18.971;28.341;38.047;
4G;FDD;10;MIMO;1;anecoica;3;111;93.5;484;15;15;0;14015;19.807;28.773;38.101;
4G;FDD;10;MIMO;1;anecoica;3;109;91.6;719;15;15;0;14017;19.006;28.995;37.984;
4G;FDD;10;MIMO;1;anecoica;3;111;93.4;624;15;15;0;14016;19.948;28.463;37.969;
4G;FDD;10;MIMO;1;rever;1;97.8;82.0;1057;15;15;0;14017;18.910;29.613;41.975;
4G;FDD;10;MIMO;1;rever;1;97.3;81.6;467;15;15;0;14017;19.918;29.226;38.041;
4G;FDD;10;MIMO;1;rever;1;96.0;80.6;885;15;15;0;14017;19.735;29.978;37.979;
4G;FDD;10;MIMO;1;rever;1;96.8;81.2;863;15;15;0;14017;19.523;28.576;37.964;
4G;FDD;10;MIMO;1;rever;1;98.1;82.3;719;15;15;0;14027;21.037;96.415;1.048.182;
4G;FDD;10;MIMO;1;rever;1;97.1;81.5;1685;15;15;0;14019;19.930;28.499;37.962;
4G;FDD;10;MIMO;1;rever;1;97.1;81.5;1690;15;15;0;14014;19.792;30.170;45.968;
4G;FDD;10;MIMO;1;rever;1;95.2;79.9;1596;15;15;0;14015;21.295;32.193;45.957;
4G;FDD;10;MIMO;1;rever;1;97.2;81.6;1358;15;15;0;14017;19.169;29.060;37.990;
4G;FDD;10;MIMO;1;rever;1;96.5;80.9;1347;15;15;0;14017;18.468;28.031;36.996;
4G;FDD;10;MIMO;1;rever;1;97.9;82.1;853;15;15;0;14017;19.946;30.221;38.504;
4G;FDD;10;MIMO;1;rever;1;96.5;81.0;844;15;15;0;14015;19.989;30.598;43.734;
4G;FDD;10;MIMO;1;rever;1;96.9;81.3;1392;15;15;0;14018;18.953;28.604;42.011;
4G;FDD;10;MIMO;1;rever;1;96.9;81.3;1049;15;15;0;14014;18.972;28.492;37.958;
4G;FDD;10;MIMO;1;rever;1;97.4;81.7;1128;15;15;0;14015;20.947;29.058;37.969;
4G;FDD;10;MIMO;1;rever;1;96.4;80.9;1103;15;15;0;14016;19.941;29.609;41.146;
4G;FDD;10;MIMO;1;rever;1;95.4;80.0;1053;15;15;0;14016;19.783;30.830;53.856;
4G;FDD;10;MIMO;1;rever;1;97.7;81.9;1082;15;15;0;14015;19.860;30.293;38.003;
4G;FDD;10;MIMO;1;rever;1;96.7;81.1;1059;15;15;0;14018;19.828;29.924;38.015;
4G;FDD;10;MIMO;1;rever;1;97.2;81.6;1145;15;15;0;14019;18.943;30.725;40.859;
4G;FDD;10;MIMO;1;rever;2;111;93.5;856;15;15;0;14016;18.769;27.537;37.750;
4G;FDD;10;MIMO;1;rever;2;110;92.5;880;15;15;0;14032;18.910;93.541;1.039.091;
4G;FDD;10;MIMO;1;rever;2;110;92.0;713;15;15;0;14017;19.114;28.094;37.955;
4G;FDD;10;MIMO;1;rever;2;110;92.0;646;15;15;0;14015;19.045;27.583;37.809;
4G;FDD;10;MIMO;1;rever;2;111;92.8;1016;15;15;0;14014;19.959;29.232;38.016;
4G;FDD;10;MIMO;1;rever;2;110;92.3;774;15;15;0;14017;18.976;29.114;38.000;
4G;FDD;10;MIMO;1;rever;2;111;93.1;904;15;15;0;14015;18.969;29.383;37.979;
4G;FDD;10;MIMO;1;rever;2;111;92.8;765;15;15;0;14015;19.927;28.887;37.992;
4G;FDD;10;MIMO;1;rever;2;111;92.7;456;15;15;0;14022;18.940;94.084;1.035.006;
4G;FDD;10;MIMO;1;rever;2;110;92.3;880;15;15;0;14029;19.002;92.474;1.040.927;
4G;FDD;10;MIMO;1;rever;2;110;92.0;503;15;15;0;14017;19.945;28.485;37.942;
4G;FDD;10;MIMO;1;rever;2;109;91.8;707;15;15;0;14017;18.907;27.225;36.935;
4G;FDD;10;MIMO;1;rever;2;111;93.1;643;15;15;0;14018;18.989;28.622;37.937;
4G;FDD;10;MIMO;1;rever;2;111;93.0;772;15;15;0;14018;19.063;29.079;37.932;
4G;FDD;10;MIMO;1;rever;2;110;92.6;610;15;15;0;14017;18.942;28.463;37.525;
4G;FDD;10;MIMO;1;rever;2;110;92.5;697;15;15;0;14017;18.995;27.929;37.951;
4G;FDD;10;MIMO;1;rever;2;110;92.4;755;15;15;0;14016;20.956;29.810;38.978;
4G;FDD;10;MIMO;1;rever;2;110;92.1;753;15;15;0;14018;18.932;28.371;37.082;
4G;FDD;10;MIMO;1;rever;2;109;91.8;376;15;15;0;14015;19.941;28.905;37.970;
4G;FDD;10;MIMO;1;rever;2;110;91.9;670;15;15;0;14017;19.037;28.687;37.916;
4G;FDD;10;MIMO;1;rever;3;45.8;38.4;1110;15;15;0;14017;19.000;29.372;37.999;
4G;FDD;10;MIMO;1;rever;3;46.3;38.8;1025;15;15;0;14016;18.865;94.728;1.020.983;
4G;FDD;10;MIMO;1;rever;3;46.6;39.1;1513;15;15;0;14013;18.976;28.649;39.005;
4G;FDD;10;MIMO;1;rever;3;46.0;38.6;558;15;15;0;14015;18.545;27.000;36.975;
4G;FDD;10;MIMO;1;rever;3;45.5;38.2;803;15;15;0;14014;19.018;27.935;37.975;
4G;FDD;10;MIMO;1;rever;3;45.2;37.9;1223;15;15;0;14013;19.075;28.068;38.005;
4G;FDD;10;MIMO;1;rever;3;45.6;38.3;1124;15;15;0;14013;18.984;27.390;37.994;
4G;FDD;10;MIMO;1;rever;3;45.8;38.4;1317;15;15;0;14013;18.959;25.800;37.031;
4G;FDD;10;MIMO;1;rever;3;45.0;37.8;841;15;15;0;14015;19.017;29.776;37.988;
4G;FDD;10;MIMO;1;rever;3;46.0;38.6;1201;15;15;0;14013;19.090;26.874;38.040;
4G;FDD;10;MIMO;1;rever;3;45.8;38.4;1197;15;15;0;14015;18.358;27.643;37.242;
4G;FDD;10;MIMO;1;rever;3;46.4;39.0;896;15;15;0;14012;19.061;27.948;37.992;
4G;FDD;10;MIMO;1;rever;3;46.4;39.0;1070;15;15;0;14013;18.938;26.921;37.883;
4G;FDD;10;MIMO;1;rever;3;46.9;39.3;901;15;15;0;14012;19.913;26.342;37.967;
4G;FDD;10;MIMO;1;rever;3;45.6;38.3;743;15;15;0;14013;18.941;27.150;36.993;
4G;FDD;10;MIMO;1;rever;3;46.1;38.7;1271;15;15;0;14015;19.865;29.492;38.013;
4G;FDD;10;MIMO;1;rever;3;46.6;39.1;763;15;15;0;14012;18.996;28.934;38.029;
4G;FDD;10;MIMO;1;rever;3;45.4;38.1;1317;15;15;0;14014;19.035;29.762;38.197;
4G;FDD;10;MIMO;1;rever;3;46.5;39.0;1332;15;15;0;14012;18.809;26.969;37.712;
4G;FDD;10;MIMO;1;rever;3;45.3;38.0;954;15;15;0;14015;18.897;26.292;36.963;
4G;FDD;10;SISO;1;anecoica;1;58.6;49.2;685;15;15;0;14014;18.916;26.357;36.930;
4G;FDD;10;SISO;1;anecoica;1;59.1;49.6;647;15;15;0;14015;19.010;28.439;37.968;
4G;FDD;10;SISO;1;anecoica;1;58.5;49.1;976;15;15;0;14017;18.959;27.691;37.832;
4G;FDD;10;SISO;1;anecoica;1;58.7;49.2;866;15;15;0;14009;18.619;25.239;38.033;
4G;FDD;10;SISO;1;anecoica;1;58.8;49.3;1237;15;15;0;14027;21.037;94.393;1.045.961;
4G;FDD;10;SISO;1;anecoica;1;58.9;49.4;801;15;15;0;14012;19.006;27.308;37.992;
4G;FDD;10;SISO;1;anecoica;1;58.7;49.3;825;15;15;0;14002;25.973;64.331;587.045;
4G;FDD;10;SISO;1;anecoica;1;58.8;49.3;1400;15;15;0;14016;19.024;28.336;37.950;
4G;FDD;10;SISO;1;anecoica;1;58.4;49.0;828;15;15;0;14015;18.976;27.288;37.940;
4G;FDD;10;SISO;1;anecoica;1;59.0;49.5;1166;15;15;0;14014;19.125;28.161;37.965;
4G;FDD;10;SISO;1;anecoica;1;58.7;49.2;1082;15;15;0;14014;18.903;27.846;38.070;
4G;FDD;10;SISO;1;anecoica;1;58.9;49.4;1390;15;15;0;14001;26.982;27.361;28.209;
4G;FDD;10;SISO;1;anecoica;1;58.9;49.4;944;15;15;0;14013;19.778;27.432;38.094;
4G;FDD;10;SISO;1;anecoica;1;58.6;49.2;1217;15;15;0;14011;18.943;25.429;37.306;
4G;FDD;10;SISO;1;anecoica;1;58.8;49.4;553;15;15;0;14015;19.022;28.556;37.971;
4G;FDD;10;SISO;1;anecoica;1;58.9;49.4;939;15;15;0;14014;19.009;27.705;38.026;
4G;FDD;10;SISO;1;anecoica;1;58.6;49.2;1490;15;15;0;14014;19.036;27.832;37.980;
4G;FDD;10;SISO;1;anecoica;1;58.8;49.3;2117;15;15;0;14016;18.544;28.073;37.135;
4G;FDD;10;SISO;1;anecoica;1;58.8;49.3;597;15;15;0;14013;19.267;27.340;37.920;
4G;FDD;10;SISO;1;anecoica;1;59.1;49.6;1479;15;15;0;14013;18.974;27.950;38.057;
4G;FDD;10;SISO;1;anecoica;2;58.8;49.4;447;15;15;0;14017;18.976;28.794;37.989;
4G;FDD;10;SISO;1;anecoica;2;58.7;49.3;825;15;15;0;14018;19.092;28.816;37.967;
4G;FDD;10;SISO;1;anecoica;2;58.5;49.1;820;15;15;0;14017;19.811;28.694;37.947;
4G;FDD;10;SISO;1;anecoica;2;58.8;49.3;608;15;15;0;14016;19.000;28.189;37.940;
4G;FDD;10;SISO;1;anecoica;2;58.4;49.0;613;15;15;0;14015;20.948;30.615;38.971;
4G;FDD;10;SISO;1;anecoica;2;59.0;49.5;1131;15;15;0;14019;18.921;27.809;37.503;
4G;FDD;10;SISO;1;anecoica;2;59.0;49.5;1039;15;15;0;14016;19.831;29.267;37.975;
4G;FDD;10;SISO;1;anecoica;2;58.9;49.4;654;15;15;0;14016;18.972;28.872;38.028;
4G;FDD;10;SISO;1;anecoica;2;58.9;49.4;868;15;15;0;14011;19.960;31.068;38.035;
4G;FDD;10;SISO;1;anecoica;2;58.6;49.1;1549;15;15;0;14019;18.982;28.499;37.929;
4G;FDD;10;SISO;1;anecoica;2;58.8;49.3;1319;15;15;0;14020;13.950;27.739;38.013;
4G;FDD;10;SISO;1;anecoica;2;58.6;49.1;1476;15;15;0;14017;19.928;29.583;37.988;
4G;FDD;10;SISO;1;anecoica;2;58.7;49.3;889;15;15;0;14018;19.903;28.750;37.981;
4G;FDD;10;SISO;1;anecoica;2;58.9;49.4;873;15;15;0;14019;19.170;28.415;37.791;
4G;FDD;10;SISO;1;anecoica;2;58.9;49.4;676;15;15;0;14016;18.869;28.119;37.724;
4G;FDD;10;SISO;1;anecoica;2;58.6;49.2;763;15;15;0;14017;20.938;29.794;39.005;
4G;FDD;10;SISO;1;anecoica;2;58.8;49.3;1137;15;15;0;14017;18.661;27.471;36.877;
4G;FDD;10;SISO;1;anecoica;2;58.9;49.4;802;15;15;0;14018;19.954;29.110;38.041;
4G;FDD;10;SISO;1;anecoica;2;58.8;49.3;618;15;15;0;14019;19.923;29.324;38.029;
4G;FDD;10;SISO;1;anecoica;2;58.8;49.3;1451;15;15;0;14018;18.900;27.799;36.990;
4G;FDD;10;SISO;1;anecoica;3;58.8;49.3;910;15;15;0;14017;19.830;29.217;37.959;
4G;FDD;10;SISO;1;anecoica;3;59.1;49.5;949;15;15;0;14019;19.971;29.209;38.011;
4G;FDD;10;SISO;1;anecoica;3;58.9;49.4;1050;15;15;0;14002;25.969;26.704;27.995;
4G;FDD;10;SISO;1;anecoica;3;58.8;49.3;742;15;15;0;14020;19.019;28.141;37.936;
4G;FDD;10;SISO;1;anecoica;3;58.9;49.4;698;15;15;0;14018;19.036;28.868;37.955;
4G;FDD;10;SISO;1;anecoica;3;58.7;49.2;619;15;15;0;14004;24.105;26.013;28.294;
4G;FDD;10;SISO;1;anecoica;3;58.9;49.4;850;15;15;0;14018;18.945;28.367;36.997;
4G;FDD;10;SISO;1;anecoica;3;58.8;49.3;701;15;15;0;14015;18.836;27.579;36.972;
4G;FDD;10;SISO;1;anecoica;3;58.7;49.3;583;15;15;0;14034;18.957;94.946;1.043.791;
4G;FDD;10;SISO;1;anecoica;3;58.6;49.2;1701;15;15;0;14018;19.019;28.562;38.006;
4G;FDD;10;SISO;1;anecoica;3;58.9;49.4;876;15;15;0;14018;19.943;29.531;38.032;
4G;FDD;10;SISO;1;anecoica;3;58.6;49.1;966;15;15;0;14018;19.944;29.374;37.995;
4G;FDD;10;SISO;1;anecoica;3;58.8;49.3;1531;15;15;0;14017;19.931;28.694;37.958;
4G;FDD;10;SISO;1;anecoica;3;58.4;49.0;1436;15;15;0;14017;19.036;28.740;37.986;
4G;FDD;10;SISO;1;anecoica;3;59.0;49.5;682;15;15;0;14016;18.924;27.200;36.954;
4G;FDD;10;SISO;1;anecoica;3;58.8;49.3;1750;15;15;0;14017;18.978;28.207;37.969;
4G;FDD;10;SISO;1;anecoica;3;58.8;49.3;1040;15;15;0;14015;18.972;28.086;37.965;
4G;FDD;10;SISO;1;anecoica;3;58.7;49.2;1283;15;15;0;14020;19.893;28.861;37.947;
4G;FDD;10;SISO;1;anecoica;3;58.5;49.1;694;15;15;0;14015;18.907;27.987;36.953;
4G;FDD;10;SISO;1;anecoica;3;58.9;49.4;699;15;15;0;14015;18.972;28.428;37.999;
4G;FDD;10;SISO;1;rever;1;59.0;49.5;811;15;15;0;14017;19.007;29.273;37.939;
4G;FDD;10;SISO;1;rever;1;58.8;49.3;1047;15;15;0;14020;18.982;28.555;37.935;
4G;FDD;10;SISO;1;rever;1;59.0;49.5;804;15;15;0;14017;19.939;29.060;38.053;
4G;FDD;10;SISO;1;rever;1;58.7;49.2;537;15;15;0;14019;18.951;28.056;37.008;
4G;FDD;10;SISO;1;rever;1;58.8;49.3;726;15;15;0;14016;18.904;28.276;36.917;
4G;FDD;10;SISO;1;rever;1;58.5;49.1;411;15;15;0;14015;19.023;27.301;37.923;
4G;FDD;10;SISO;1;rever;1;58.7;49.2;890;15;15;0;14016;19.276;66.899;602.946;
4G;FDD;10;SISO;1;rever;1;59.0;49.4;1176;15;15;0;14019;18.919;28.511;40.898;
4G;FDD;10;SISO;1;rever;1;59.1;49.5;932;15;15;0;14015;18.952;27.939;37.002;
4G;FDD;10;SISO;1;rever;1;58.6;49.2;874;15;15;0;14015;19.879;27.496;37.995;
4G;FDD;10;SISO;1;rever;1;58.8;49.3;911;15;15;0;14019;18.939;26.978;36.908;
4G;FDD;10;SISO;1;rever;1;59.0;49.5;602;15;15;0;14016;19.001;29.035;38.000;
4G;FDD;10;SISO;1;rever;1;58.9;49.4;809;15;15;0;14018;18.972;29.131;37.990;
4G;FDD;10;SISO;1;rever;1;59.0;49.5;939;15;15;0;14019;18.955;28.307;37.059;
4G;FDD;10;SISO;1;rever;1;58.8;49.3;960;15;15;0;14018;19.004;28.286;37.960;
4G;FDD;10;SISO;1;rever;1;58.8;49.3;967;15;15;0;14005;22.874;25.457;28.194;
4G;FDD;10;SISO;1;rever;1;58.8;49.3;1005;15;15;0;14015;18.860;28.111;37.553;
4G;FDD;10;SISO;1;rever;1;59.1;49.5;446;15;15;0;14016;19.931;29.110;38.069;
4G;FDD;10;SISO;1;rever;1;58.7;49.2;789;15;15;0;14018;18.606;27.461;37.091;
4G;FDD;10;SISO;1;rever;1;59.2;49.7;741;15;15;0;14018;18.821;28.053;37.919;
4G;FDD;10;SISO;1;rever;2;58.8;49.4;782;15;15;0;14017;19.947;29.299;37.996;
4G;FDD;10;SISO;1;rever;2;58.7;49.2;649;15;15;0;14017;19.888;28.608;37.961;
4G;FDD;10;SISO;1;rever;2;58.6;49.2;810;15;15;0;14019;19.001;29.078;38.030;
4G;FDD;10;SISO;1;rever;2;58.8;49.3;775;15;15;0;14015;19.052;28.825;38.281;
4G;FDD;10;SISO;1;rever;2;58.6;49.1;951;15;15;0;14016;19.941;29.207;37.963;
4G;FDD;10;SISO;1;rever;2;58.8;49.3;1676;15;15;0;14017;18.930;28.428;37.736;
4G;FDD;10;SISO;1;rever;2;59.0;49.5;643;15;15;0;14004;22.937;25.176;27.850;
4G;FDD;10;SISO;1;rever;2;58.7;49.3;561;15;15;0;14017;18.962;28.414;36.990;
4G;FDD;10;SISO;1;rever;2;59.1;49.6;1412;15;15;0;14020;18.840;28.700;37.887;
4G;FDD;10;SISO;1;rever;2;58.5;49.1;766;15;15;0;14016;18.951;27.732;36.970;
4G;FDD;10;SISO;1;rever;2;58.9;49.4;648;15;15;0;14018;18.821;27.707;36.858;
4G;FDD;10;SISO;1;rever;2;58.8;49.3;552;15;15;0;14016;19.949;28.976;37.986;
4G;FDD;10;SISO;1;rever;2;59.0;49.5;573;15;15;0;14018;19.911;28.635;38.124;
4G;FDD;10;SISO;1;rever;2;58.8;49.3;1140;15;15;0;14016;18.310;27.810;37.970;
4G;FDD;10;SISO;1;rever;2;58.7;49.2;1256;15;15;0;14014;19.001;27.755;37.956;
4G;FDD;10;SISO;1;rever;2;59.0;49.4;1134;15;15;0;14018;19.947;29.651;38.036;
4G;FDD;10;SISO;1;rever;2;58.8;49.3;642;15;15;0;14017;18.968;28.673;36.985;
4G;FDD;10;SISO;1;rever;2;58.7;49.3;881;15;15;0;14018;19.941;29.355;37.987;
4G;FDD;10;SISO;1;rever;2;58.8;49.3;657;15;15;0;14017;18.740;27.523;36.932;
4G;FDD;10;SISO;1;rever;2;58.9;49.4;625;15;15;0;14018;19.012;28.596;37.969;
4G;FDD;10;SISO;1;rever;3;58.7;49.2;719;15;15;0;14017;19.088;29.019;37.977;
4G;FDD;10;SISO;1;rever;3;58.7;49.3;897;15;15;0;14016;18.768;27.812;37.634;
4G;FDD;10;SISO;1;rever;3;59.0;49.5;995;15;15;0;14015;18.925;27.237;37.009;
4G;FDD;10;SISO;1;rever;3;58.6;49.1;2286;15;15;0;14014;18.678;26.448;37.395;
4G;FDD;10;SISO;1;rever;3;57.7;48.4;602;15;15;0;14014;19.030;27.711;38.001;
4G;FDD;10;SISO;1;rever;3;58.9;49.4;614;15;15;0;14014;18.492;26.394;37.571;
4G;FDD;10;SISO;1;rever;3;59.0;49.5;1117;15;15;0;14015;18.933;27.411;37.912;
4G;FDD;10;SISO;1;rever;3;58.5;49.1;1236;15;15;0;14010;18.968;92.154;1.020.052;
4G;FDD;10;SISO;1;rever;3;58.6;49.1;1466;15;15;0;14015;19.035;28.335;38.043;
4G;FDD;10;SISO;1;rever;3;58.9;49.4;1315;15;15;0;14014;19.020;80.805;807.001;
4G;FDD;10;SISO;1;rever;3;58.4;49.0;1021;15;15;0;14013;18.998;27.021;38.100;
4G;FDD;10;SISO;1;rever;3;58.4;49.0;1674;15;15;0;14011;18.653;25.690;38.094;
4G;FDD;10;SISO;1;rever;3;58.5;49.0;883;15;15;0;14015;18.969;28.181;38.043;
4G;FDD;10;SISO;1;rever;3;58.8;49.4;1261;15;15;0;14015;18.960;27.650;37.859;
4G;FDD;10;SISO;1;rever;3;58.6;49.1;1363;15;15;0;14015;19.969;29.566;38.028;
4G;FDD;10;SISO;1;rever;3;58.5;49.1;1507;15;15;0;14016;18.983;29.157;38.052;
4G;FDD;10;SISO;1;rever;3;58.2;48.8;669;15;15;0;14017;19.889;29.602;37.997;
4G;FDD;10;SISO;1;rever;3;59.0;49.5;1021;15;15;0;14013;19.352;27.344;37.990;
4G;FDD;10;SISO;1;rever;3;58.6;49.1;1300;15;15;0;14017;19.474;28.890;37.998;
4G;FDD;10;SISO;1;rever;3;58.7;49.2;1520;15;15;0;14014;18.958;28.000;37.915;
4G;FDD;15;MIMO;1;anecoica;1;84.7;71.1;1362;15;15;0;14015;15.032;28.056;41.718;
4G;FDD;15;MIMO;1;anecoica;1;83.1;69.7;815;15;15;0;14032;18.275;98.848;1.048.106;
4G;FDD;15;MIMO;1;anecoica;1;82.8;69.4;953;15;15;0;14017;13.140;31.293;50.978;
4G;FDD;15;MIMO;1;anecoica;1;82.8;69.5;1191;15;15;0;14014;19.112;33.394;50.036;
4G;FDD;15;MIMO;1;anecoica;1;82.9;69.6;986;15;15;0;14016;18.935;31.328;51.793;
4G;FDD;15;MIMO;1;anecoica;1;82.6;69.2;1155;15;15;0;14013;19.940;33.393;51.871;
4G;FDD;15;MIMO;1;anecoica;1;82.6;69.3;790;15;15;0;14015;14.287;31.339;44.022;
4G;FDD;15;MIMO;1;anecoica;1;82.9;69.5;610;15;15;0;14013;19.491;29.213;38.058;
4G;FDD;15;MIMO;1;anecoica;1;81.9;68.7;943;15;15;0;14015;19.938;30.666;49.222;
4G;FDD;15;MIMO;1;anecoica;1;83.2;69.8;916;15;15;0;14015;11.898;26.279;39.703;
4G;FDD;15;MIMO;1;anecoica;1;82.8;69.5;908;15;15;0;14015;18.846;28.026;37.897;
4G;FDD;15;MIMO;1;anecoica;1;83.6;70.1;1435;15;15;0;14017;19.015;30.089;42.859;
4G;FDD;15;MIMO;1;anecoica;1;83.0;69.6;764;15;14;6;14016;20.054;33.971;51.999;
4G;FDD;15;MIMO;1;anecoica;1;82.6;69.3;900;15;15;0;14015;16.007;28.856;42.064;
4G;FDD;15;MIMO;1;anecoica;1;82.7;69.4;886;15;15;0;14016;17.848;28.805;50.008;
4G;FDD;15;MIMO;1;anecoica;1;83.0;69.6;956;15;15;0;14016;19.919;31.692;49.023;
4G;FDD;15;MIMO;1;anecoica;1;83.3;69.9;1382;15;15;0;14016;18.792;31.939;51.952;
4G;FDD;15;MIMO;1;anecoica;1;82.6;69.3;945;15;15;0;14016;19.010;29.012;37.969;
4G;FDD;15;MIMO;1;anecoica;1;83.2;69.8;726;15;15;0;14012;18.981;33.317;53.958;
